name,abilities,type1,type2,is_legendary,japanese_name,hp,attack,defense,sp_attack,sp_defense,speed,base_total,classification,generation,base_egg_steps,height_m,weight_kg,base_happiness,capture_rate,experience_growth,percentage_male,pokedex_number,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
Metapod,['Shed Skin'],bug,,0,Transel,50,20,55,25,25,30,205,Cocoon Pokémon,1,15,0.7,9.9,70,120,1000000,50,11,1.0,1.0,1.0,1.0,1.0,0.5,2,2,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0
Butterfree,"['Compound Eyes', 'Tinted Lens']",bug,flying,0,Butterfree,60,45,50,80,80,70,385,Butterfly Pokémon,1,15,1.1,32.0,70,45,1000000,50,12,0.5,1.0,1.0,2.0,1.0,0.25,2,2,1.0,0.25,0.0,2,1.0,1.0,1.0,4.0,1.0,1.0
Weedle,"['Shield Dust', 'Run Away']",bug,poison,0,Beedle,40,35,30,20,20,50,195,Hairy Bug Pokémon,1,15,0.3,3.2,70,255,1000000,50,13,0.5,1.0,1.0,1.0,0.5,0.25,2,2,1.0,0.25,1.0,1.0,1.0,0.5,2,2.0,1.0,1.0
Kakuna,['Shed Skin'],bug,poison,0,Cocoon,45,25,50,25,25,35,205,Cocoon Pokémon,1,15,0.6,10.0,70,120,1000000,50,14,0.5,1.0,1.0,1.0,0.5,0.25,2,2,1.0,0.25,1.0,1.0,1.0,0.5,2,2.0,1.0,1.0
Beedrill,"['Swarm', 'Sniper', 'Adaptability']",bug,poison,0,Spear,65,80,40,45,80,75,385,Poison Bee Pokémon,1,15,1.0,29.5,70,45,1000000,50,15,0.5,1.0,1.0,1.0,0.5,0.25,2,2,1.0,0.25,1.0,1.0,1.0,0.5,2,2.0,1.0,1.0
Pidgey,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,flying,0,Poppo,40,45,40,35,35,56,251,Tiny Bird Pokémon,1,15,0.3,1.8,70,255,1059860,50,16,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2,1.0,1.0,1.0,2.0,1.0,1.0
Pidgeotto,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",normal,flying,0,Pigeon,63,60,55,50,50,71,349,Bird Pokémon,1,15,1.1,30.0,70,120,1059860,50,17,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2,1.0,1.0,1.0,2.0,1.0,1.0
Pidgeot,"['Keen Eye', 'Tangled Feet', 'Big Pecks', 'No Guard']",normal,flying,0,Pigeot,83,80,75,70,70,91,469,Bird Pokémon,1,15,1.5,39.5,70,45,1059860,50,18,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2,1.0,1.0,1.0,2.0,1.0,1.0
Rattata,"['Run Away', 'Guts', 'Gluttony', 'Hustle', 'Thick Fat']",normal,,0,Koratta,30,56,35,25,35,72,253,Mouse Pokémon,1,15,0.3,3.5,70,255,1000000,50,19,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Raticate,"['Run Away', 'Guts', 'Gluttony', 'Hustle', 'Thick Fat']",normal,,0,Ratta,55,81,60,50,70,97,413,Mouse Pokémon,1,15,0.7,18.5,70,127,1000000,50,20,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Spearow,"['Keen Eye', 'Sniper']",normal,flying,0,Onisuzume,40,60,30,31,31,70,262,Tiny Bird Pokémon,1,15,0.3,2.0,70,255,1000000,50,21,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2,1.0,1.0,1.0,2.0,1.0,1.0
Fearow,"['Keen Eye', 'Sniper']",normal,flying,0,Onidrill,65,90,65,61,61,100,442,Beak Pokémon,1,15,1.2,38.0,70,90,1000000,50,22,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2,1.0,1.0,1.0,2.0,1.0,1.0
Ekans,"['Intimidate', 'Shed Skin', 'Unnerve']",poison,,0,Arbo,35,60,44,40,54,55,288,Snake Pokémon,1,20,2.0,6.9,70,255,1000000,50,23,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2,1.0,1.0,1.0
Arbok,"['Intimidate', 'Shed Skin', 'Unnerve']",poison,,0,Arbok,60,85,69,65,79,80,438,Cobra Pokémon,1,20,3.5,65.0,70,90,1000000,50,24,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2,1.0,1.0,1.0
Pikachu,"['Static', 'Lightning Rod']",electric,,0,Pikachu,35,55,30,50,40,90,300,Mouse Pokémon,1,10,0.4,6.0,70,190,1000000,50,25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Raichu,"['Static', 'Surge Surfer', 'Lightning Rod']",electric,,0,Raichu,60,90,55,90,80,100,475,Mouse Pokémon,1,10,0.8,30.0,70,75,1000000,50,26,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
Sandshrew,"['Sand Veil', 'Snow Cloak', 'Sand Rush', 'Slush Rush']",ground,,0,Sand,50,75,85,20,30,40,300,Mouse Pokémon,1,20,0.6,12.0,70,255,1000000,50,27,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1.0,0.5,1.0,0.5,1.0,2.0
Sandslash,"['Sand Veil', 'Snow Cloak', 'Sand Rush', 'Slush Rush']",ground,,0,Sandpan,75,100,110,45,55,65,450,Mouse Pokémon,1,20,1.0,29.5,70,90,1000000,50,28,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1.0,0.5,1.0,0.5,1.0,2.0
Nidoran♀,"['Poison Point', 'Rivalry', 'Hustle']",poison,,0,Nidoran♀,55,47,52,40,40,41,275,Poison Pin Pokémon,1,20,0.4,7.0,70,235,1059860,100,29,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2,1.0,1.0,1.0
Nidorina,"['Poison Point', 'Rivalry', 'Hustle']",poison,,0,Nidorina,70,62,67,55,55,56,365,Poison Pin Pokémon,1,20,0.8,20.0,70,120,1059860,100,30,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2,1.0,1.0,1.0
Nidoqueen,"['Poison Point', 'Rivalry', 'Sheer Force']",poison,ground,0,Nidoqueen,90,82,87,75,85,76,495,Drill Pokémon,1,20,1.3,60.0,70,45,1059860,100,31,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2,1.0,0.25,2,0.5,1.0,2.0
Nidoran♂,"['Poison Point', 'Rivalry', 'Hustle']",poison,,0,Nidoran♂,46,57,40,40,40,50,273,Poison Pin Pokémon,1,20,0.5,9.0,70,235,1059860,100,32,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2,1.0,1.0,1.0
Nidorino,"['Poison Point', 'Rivalry', 'Hustle']",poison,,0,Nidorino,61,72,57,55,55,65,365,Poison Pin Pokémon,1,20,0.9,19.5,70,120,1059860,100,33,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2,1.0,1.0,1.0
Nidoking,"['Poison Point', 'Rivalry', 'Sheer Force']",poison,ground,0,Nidoking,81,92,77,85,75,85,495,Drill Pokémon,1,20,1.4,62.0,70,45,1059860,100,34,0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2,1.0,0.25,2,0.5,1.0,2.0
Clefairy,"['Cute Charm', 'Magic Guard', 'Friend Guard']",fairy,,0,Pippi,70,45,48,60,65,35,323,Fairy Pokémon,1,10,0.6,7.5,140,150,800000,25,35,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Clefable,"['Cute Charm', 'Magic Guard', 'Unaware']",fairy,,0,Pixy,95,70,73,85,90,60,473,Fairy Pokémon,1,10,1.3,40.0,140,25,800000,25,36,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Vulpix,"['Flash Fire', 'Snow Cloak', 'Drought', 'Snow Warning']",fire,,0,Rokon,38,41,40,50,65,65,299,Fox Pokémon,1,20,0.6,9.9,70,190,1000000,25,37,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Ninetales,"['Flash Fire', 'Snow Cloak', 'Drought', 'Snow Warning']",fire,,0,Kyukon,73,76,75,81,100,100,505,Fox Pokémon,1,20,1.1,19.9,70,75,1000000,25,38,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Jigglypuff,"['Cute Charm', 'Competitive', 'Friend Guard']",normal,fairy,0,Purin,115,45,20,45,25,20,270,Balloon Pokémon,1,10,0.5,5.5,70,170,800000,25,39,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Wigglytuff,"['Cute Charm', 'Competitive', 'Frisk']",normal,fairy,0,Pukurin,140,70,45,75,50,45,425,Balloon Pokémon,1,10,1.0,12.0,70,50,800000,25,40,0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0
Zubat,"['Inner Focus', 'Infiltrator']",poison,flying,0,Zubat,40,45,35,30,40,55,245,Bat Pokémon,1,15,0.8,7.5,70,255,1000000,50,41,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2,1.0,0.5,2,2.0,1.0,1.0
Golbat,"['Inner Focus', 'Infiltrator']",poison,flying,0,Golbat,75,80,70,65,75,90,455,Bat Pokémon,1,15,1.6,55.0,70,90,1000000,50,42,0.25,1.0,1.0,2.0,0.5,0.25,1.0,1.0,1.0,0.25,0.0,2,1.0,0.5,2,2.0,1.0,1.0
Oddish,"['Chlorophyll', 'Run Away']",grass,poison,0,Nazonokusa,45,50,55,75,65,30,320,Weed Pokémon,1,20,0.5,5.4,70,255,1059860,50,43,1.0,1.0,1.0,0.5,0.5,0.5,2,2,1.0,0.25,1.0,2,1.0,1.0,2,1.0,1.0,0.5
Gloom,"['Chlorophyll', 'Stench']",grass,poison,0,Kusaihana,60,65,70,85,75,40,395,Weed Pokémon,1,20,0.8,8.6,70,120,1059860,50,44,1.0,1.0,1.0,0.5,0.5,0.5,2,2,1.0,0.25,1.0,2,1.0,1.0,2,1.0,1.0,0.5
Vileplume,"['Chlorophyll', 'Effect Spore']",grass,poison,0,Ruffresia,75,80,85,100,90,50,480,Flower Pokémon,1,20,1.2,18.6,70,45,1059860,50,45,1.0,1.0,1.0,0.5,0.5,0.5,2,2,1.0,0.25,1.0,2,1.0,1.0,2,1.0,1.0,0.5
Paras,"['Effect Spore', 'Dry Skin', 'Damp']",bug,grass,0,Paras,35,70,55,45,55,25,285,Mushroom Pokémon,1,20,0.3,5.4,70,190,1000000,50,46,2.0,1.0,1.0,0.5,1.0,0.5,4,4,1.0,0.25,0.25,2,1.0,2.0,1.0,2.0,1.0,0.5
Parasect,"['Effect Spore', 'Dry Skin', 'Damp']",bug,grass,0,Parasect,60,95,80,60,80,30,405,Mushroom Pokémon,1,20,1.0,29.5,70,75,1000000,50,47,2.0,1.0,1.0,0.5,1.0,0.5,4,4,1.0,0.25,0.25,2,1.0,2.0,1.0,2.0,1.0,0.5
Venonat,"['Compound Eyes', 'Tinted Lens', 'Run Away']",bug,poison,0,Kongpang,60,55,50,40,55,45,305,Insect Pokémon,1,20,1.0,30.0,70,190,1000000,50,48,0.5,1.0,1.0,1.0,0.5,0.25,2,2,1.0,0.25,1.0,1.0,1.0,0.5,2,2.0,1.0,1.0
Venomoth,"['Shield Dust', 'Tinted Lens', 'Wonder Skin']",bug,poison,0,Morphon,70,65,60,90,75,90,450,Poison Moth Pokémon,1,20,1.5,12.5,70,75,1000000,50,49,0.5,1.0,1.0,1.0,0.5,0.25,2,2,1.0,0.25,1.0,1.0,1.0,0.5,2,2.0,1.0,1.0
Diglett,"['Sand Veil', 'Arena Trap', 'Tangling Hair', 'Sand Force']",ground,,0,Digda,10,55,25,35,45,95,265,Mole Pokémon,1,20,0.2,0.8,70,255,1000000,50,50,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1.0,0.5,1.0,0.5,1.0,2.0
Dugtrio,"['Sand Veil', 'Arena Trap', 'Tangling Hair', 'Sand Force']",ground,,0,Dugtrio,35,80,50,50,70,120,405,Mole Pokémon,1,20,0.7,33.3,70,50,1000000,50,51,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2,1.0,0.5,1.0,0.5,1.0,2.0
Meowth,"['Pickup', 'Technician', 'Tough Claws', 'Unnerve', 'Rattled']",normal,,0,Nyarth,40,45,35,40,40,90,290,Scratch Cat Pokémon,1,20,0.4,4.2,70,255,1000000,50,52,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Persian,"['Limber', 'Technician', 'Fur Coat', 'Unnerve', 'Rattled']",normal,,0,Persian,65,70,60,65,65,115,440,Classy Cat Pokémon,1,20,1.0,32.0,70,90,1000000,50,53,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Psyduck,"['Damp', 'Cloud Nine', 'Swift Swim']",water,,0,Koduck,50,52,48,65,50,55,320,Duck Pokémon,1,20,0.8,19.6,70,190,1000000,50,54,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Golduck,"['Damp', 'Cloud Nine', 'Swift Swim']",water,,0,Golduck,80,82,78,95,80,85,500,Duck Pokémon,1,20,1.7,76.6,70,75,1000000,50,55,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Mankey,"['Vital Spirit', 'Anger Point', 'Defiant']",fighting,,0,Mankey,40,80,35,35,45,70,305,Pig Monkey Pokémon,1,20,0.5,28.0,70,190,1000000,50,56,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0.5,1.0,1.0
Primeape,"['Vital Spirit', 'Anger Point', 'Defiant']",fighting,,0,Okorizaru,65,105,60,60,70,95,455,Pig Monkey Pokémon,1,20,1.0,32.0,70,75,1000000,50,57,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0.5,1.0,1.0
Growlithe,"['Intimidate', 'Flash Fire', 'Justified', 'Rock Head']",fire,,0,Gardie,55,70,45,70,50,60,350,Puppy PokémonScout Pokémon,1,20,0.7,19.0,70,190,1250000,75,58,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Arcanine,"['Intimidate', 'Flash Fire', 'Justified', 'Rock Head']",fire,,0,Windie,90,110,80,100,80,95,555,Legendary Pokémon,1,20,1.9,155.0,70,75,1250000,75,59,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Poliwag,"['Water Absorb', 'Damp', 'Swift Swim']",water,,0,Nyoromo,40,50,40,40,40,90,300,Tadpole Pokémon,1,20,0.6,12.4,70,255,1059860,50,60,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Poliwhirl,"['Water Absorb', 'Damp', 'Swift Swim']",water,,0,Nyorozo,65,65,65,50,50,90,385,Tadpole Pokémon,1,20,1.0,20.0,70,120,1059860,50,61,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
Poliwrath,"['Water Absorb', 'Damp', 'Swift Swim']",water,fighting,0,Nyorobon,90,85,95,70,90,70,500,Tadpole Pokémon,1,20,1.3,54.0,70,45,1059860,50,62,0.5,0.5,1.0,2.0,2.0,1.0,0.5,2,1.0,2.0,1.0,0.5,1.0,1.0,2,0.5,0.5,0.5
Abra,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,,0,Casey,25,20,15,105,55,90,310,Psi Pokémon,1,20,0.9,19.5,70,200,1059860,75,63,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Kadabra,"['Synchronize', 'Inner Focus', 'Magic Guard']",psychic,,0,Yungerer,40,35,30,120,70,105,400,Psi Pokémon,1,20,1.3,56.5,70,100,1059860,75,64,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Alakazam,"['Synchronize', 'Inner Focus', 'Magic Guard', 'Trace']",psychic,,0,Foodin,55,50,45,135,85,120,490,Psi Pokémon,1,20,1.5,48.0,70,50,1059860,75,65,2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0
Machop,"['Guts', 'No Guard', 'Steadfast']",fighting,,0,Wanriky,70,80,50,35,35,35,305,Superpower Pokémon,1,20,0.8,19.5,70,180,1059860,75,66,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0.5,1.0,1.0
Machoke,"['Guts', 'No Guard', 'Steadfast']",fighting,,0,Goriky,80,100,70,50,60,45,405,Superpower Pokémon,1,20,1.5,70.5,70,90,1059860,75,67,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0.5,1.0,1.0
Machamp,"['Guts', 'No Guard', 'Steadfast']",fighting,,0,Kairiky,90,130,80,65,85,55,505,Superpower Pokémon,1,20,1.6,130.0,70,45,1059860,75,68,0.5,0.5,1.0,1.0,2.0,1.0,1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,2,0.5,1.0,1.0
Bellsprout,"['Chlorophyll', 'Gluttony']",grass,poison,0,Madatsubomi,50,75,35,70,30,40,300,Flower Pokémon,1,20,0.7,4.0,70,255,1059860,50,69,1.0,1.0,1.0,0.5,0.5,0.5,2,2,1.0,0.25,1.0,2,1.0,1.0,2,1.0,1.0,0.5
Weepinbell,"['Chlorophyll', 'Gluttony']",grass,poison,0,Utsudon,65,90,50,85,45,55,390,Flycatcher Pokémon,1,20,1.0,6.4,70,120,1059860,50,70,1.0,1.0,1.0,0.5,0.5,0.5,2,2,1.0,0.25,1.0,2,1.0,1.0,2,1.0,1.0,0.5
Victreebel,"['Chlorophyll', 'Gluttony']",grass,poison,0,Utsubot,80,105,65,100,60,70,480,Flycatcher Pokémon,1,20,1.7,15.5,70,45,1059860,50,71,1.0,1.0,1.0,0.5,0.5,0.5,2,2,1.0,0.25,1.0,2,1.0,1.0,2,1.0,1.0,0.5
Tentacool,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",water,poison,0,Menokurage,40,40,35,50,100,70,335,Jellyfish Pokémon,1,20,0.9,45.5,70,190,1250000,50,72,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2,1.0,0.5,0.5
Tentacruel,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",water,poison,0,Dokukurage,80,70,65,80,120,100,515,Jellyfish Pokémon,1,20,1.6,55.0,70,60,1250000,50,73,0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2,1.0,0.5,0.5
Geodude,"['Rock Head', 'Sturdy', 'Magnet Pull', 'Sand Veil', 'Galvanize']",rock,ground,0,Isitsubute,40,80,100,30,30,20,300,Rock Pokémon,1,15,0.4,20.0,70,255,1059860,50,74,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2,0.5,0.25,1.0,0.5,2.0,4.0
Graveler,"['Rock Head', 'Sturdy', 'Magnet Pull', 'Sand Veil', 'Galvanize']",rock,ground,0,Golone,55,95,115,45,45,35,390,Rock Pokémon,1,15,1.0,105.0,70,120,1059860,50,75,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2,0.5,0.25,1.0,0.5,2.0,4.0
Golem,"['Rock Head', 'Sturdy', 'Magnet Pull', 'Sand Veil', 'Galvanize']",rock,ground,0,Golonya,80,110,130,55,65,45,485,Megaton Pokémon,1,15,1.4,300.0,70,45,1059860,50,76,1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2,0.5,0.25,1.0,0.5,2.0,4.0
Ponyta,"['Run Away', 'Flash Fire', 'Pastel Veil', 'Flame Body', 'Anticipation']",fire,,0,Ponyta,50,85,55,65,65,90,410,Fire Horse PokémonUnique Horn Pokémon,1,20,1.0,30.0,70,190,1000000,50,77,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Rapidash,"['Run Away', 'Flash Fire', 'Pastel Veil', 'Flame Body', 'Anticipation']",fire,,0,Gallop,65,100,70,80,80,105,500,Fire Horse PokémonUnique Horn Pokémon,1,20,1.7,95.0,70,60,1000000,50,78,0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0
Slowpoke,"['Oblivious', 'Own Tempo', 'Gluttony', 'Regenerator']",water,psychic,0,Yadon,90,65,65,40,40,15,315,Dopey Pokémon,1,20,1.2,36.0,70,190,1000000,50,79,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
Slowbro,"['Oblivious', 'Own Tempo', 'Quick Draw', 'Regenerator', 'Shell Armor']",water,psychic,0,Yadoran,95,75,110,100,80,30,490,Hermit Crab Pokémon,1,20,1.6,78.5,70,75,1000000,50,80,2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5
Magnemite,"['Magnet Pull', 'Sturdy', 'Analytic']",electric,steel,0,Coil,25,35,70,95,55,45,325,Magnet Pokémon,1,20,0.3,6.0,70,190,1000000,-1,81,0.5,1.0,0.5,0.5,0.5,2.0,2,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
Magneton,"['Magnet Pull', 'Sturdy', 'Analytic']",electric,steel,0,Rarecoil,50,60,95,120,70,70,465,Magnet Pokémon,1,20,1.0,60.0,70,60,1000000,-1,82,0.5,1.0,0.5,0.5,0.5,2.0,2,0.25,1.0,0.5,4.0,0.5,0.5,0.0,0.5,0.5,0.25,1.0
Farfetch'd,"['Keen Eye', 'Inner Focus', 'Steadfast', 'Defiant', 'Scrappy']",normal,flying,0,Kamonegi,52,65,55,58,62,60,352,Wild Duck Pokémon,1,20,0.8,15.0,70,45,1000000,50,83,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2,1.0,1.0,1.0,2.0,1.0,1.0
